id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
7844,sg_ia_tj_st斗,70,摩羯座,105,608,f,四川,6,False,-1
7845,小胖手爱学习,00,巨蟹座,1,105,f,湖北,0,False,-1
7846,在北极吹风吃雪糕,90,摩羯座,4,29,m,福建,0,False,-1
7847,宮国朱璃,90,处女座,1854,970,f,广东,8,False,-1
7848,·阿菁·,-1,处女座,9162,354,f,浙江,8,True,0
7849,狸猫多啦果,90,白羊座,145,258,f,浙江,4,False,-1
7850,R7ko,90,金牛座,10552,525,f,广东,7,True,0
7851,不会画画的naki,90,金牛座,124,361,f,湖南,0,False,-1
7852,竹马尧,00,天蝎座,221,434,f,浙江,3,False,-1
7853,未栀Hazuki,10,摩羯座,115,140,f,江苏,4,False,-1
7854,B-Wildgoose,00,摩羯座,8,219,f,四川,1,False,-1
7855,乌鸡曲奇鱼,00,白羊座,37,800,f,上海,0,False,-1
7856,不关清酒的事,90,白羊座,27,282,m,吉林,0,False,-1
7857,渡辺悠利OwO,-1,射手座,466,1069,f,广东,2,False,-1
7858,MX海海,90,射手座,139,275,f,北京,6,True,0
7859,Kylin兔子,90,金牛座,410,625,f,广东,6,False,-1
7860,甜十一一,00,天蝎座,228,124,f,山东,4,False,-1
7861,kkk_GoGo,90,天蝎座,1071,787,f,江苏,1,False,-1
7862,-瀬戸黃金打,-1,双鱼座,66,570,f,北京,1,False,-1
